arm,model,file,sub,machine_correct,machine_attempted,enum_correct,baseline_correct,n_pairs,tp,fp,fn,cost,error
audio,google/gemini-3.8-flash,AA_81cc4088-35cb-41b,orf_urd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.005184,
audio,google/gemini-3.8-flash,AA_72720d37-958f-4af,idwrd_urd,3.0,10.0,0.0,1.0,5.0,2.0,0.0,3.0,0.0143595,
audio,google/gemini-3.8-flash,AA_048cadbc-2c10-416,orf_urd,0.0,48.0,0.0,0.0,5.0,5.0,0.0,0.0,0.009756,
audio,google/gemini-3.8-flash,AA_048cadbc-2c10-416,idwrd_urd,7.0,15.0,5.0,1.0,15.0,8.0,0.0,2.0,0.010497,
audio,google/gemini-3.8-flash,AA_048cadbc-2c10-416,orf_eng,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.006582,
audio,google/gemini-3.8-flash,AA_b20398e6-b319-4ad,idwrd_urd,15.0,19.0,8.0,3.0,15.0,4.0,0.0,3.0,0.01356075,
audio,google/gemini-3.8-flash,AA_b20398e6-b319-4ad,orf_urd,47.0,58.0,48.0,26.0,57.0,8.0,3.0,2.0,0.0103035,
audio,google/gemini-3.8-flash,AA_b20398e6-b319-4ad,orf_eng,29.0,36.0,17.0,7.0,25.0,3.0,4.0,4.0,0.01130325,
audio,google/gemini-3.8-flash,AA_bc78193f-3d1b-4a1,idwrd_urd,47.0,47.0,48.0,40.0,47.0,0.0,0.0,2.0,0.00799575,
audio,google/gemini-3.8-flash,AA_bc78193f-3d1b-4a1,orf_urd,47.0,53.0,47.0,33.0,50.0,2.0,3.0,1.0,0.01272225,
audio,google/gemini-3.8-flash,AA_350b43cb-69b8-4f0,orf_urd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00858225,
audio,google/gemini-3.8-flash,AA_a9c5ede9-f374-4d5,idwrd_urd,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.005625,
audio,google/gemini-3.8-flash,AA_a9c5ede9-f374-4d5,orf_urd,7.0,9.0,4.0,0.0,9.0,2.0,0.0,4.0,0.00938025,
audio,google/gemini-3.8-flash,AA_f9c6d56f-7ca9-4ff,idwrd_urd,50.0,50.0,49.0,45.0,50.0,0.0,0.0,1.0,0.0058875,
audio,google/gemini-3.8-flash,AA_f9c6d56f-7ca9-4ff,orf_urd,60.0,60.0,60.0,43.0,60.0,0.0,0.0,0.0,0.00666975,
audio,google/gemini-3.8-flash,AA_f9c6d56f-7ca9-4ff,orf_eng,56.0,59.0,57.0,41.0,59.0,0.0,3.0,2.0,0.01023,
audio,google/gemini-3.8-flash,AA_89cb8f1a-69e3-424,idwrd_urd,0.0,50.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0141,
audio,google/gemini-3.8-flash,AA_62299df1-9cd3-496,idwrd_urd,1.0,6.0,1.0,0.0,6.0,4.0,1.0,1.0,0.00986625,
audio,google/gemini-3.8-flash,AA_62299df1-9cd3-496,orf_urd,0.0,7.0,1.0,0.0,7.0,6.0,1.0,0.0,0.0061965,
audio,google/gemini-3.8-flash,AA_62299df1-9cd3-496,orf_eng,2.0,7.0,1.0,2.0,7.0,4.0,1.0,1.0,0.0071325,
audio,google/gemini-3.8-flash,AA_be261198-6c5f-4b9,idwrd_urd,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.00747,
audio,google/gemini-3.8-flash,AA_a17b3477-e1fc-411,idwrd_urd,50.0,50.0,49.0,41.0,50.0,0.0,0.0,1.0,0.0086175,
audio,google/gemini-3.8-flash,AA_a17b3477-e1fc-411,orf_urd,56.0,60.0,58.0,39.0,60.0,1.0,3.0,1.0,0.0094965,
audio,google/gemini-3.8-flash,AA_a17b3477-e1fc-411,orf_eng,29.0,59.0,30.0,7.0,34.0,2.0,24.0,2.0,0.0125925,
audio,google/gemini-3.8-flash,AA_e87962ab-1398-4ca,idwrd_urd,9.0,12.0,4.0,0.0,12.0,3.0,0.0,5.0,0.00907875,
audio,google/gemini-3.8-flash,AA_e87962ab-1398-4ca,orf_urd,4.0,12.0,5.0,0.0,12.0,8.0,0.0,0.0,0.0095115,
audio,google/gemini-3.8-flash,AA_e87962ab-1398-4ca,orf_eng,8.0,9.0,0.0,0.0,5.0,1.0,0.0,4.0,0.00718875,
audio,google/gemini-3.8-flash,AA_68b78def-9aaa-4e3,idwrd_urd,18.0,20.0,17.0,16.0,20.0,2.0,0.0,1.0,0.0074625,
audio,google/gemini-3.8-flash,AA_68b78def-9aaa-4e3,orf_urd,17.0,18.0,16.0,7.0,17.0,0.0,1.0,1.0,0.010044,
audio,google/gemini-3.8-flash,AA_68b78def-9aaa-4e3,orf_eng,12.0,15.0,8.0,7.0,12.0,1.0,2.0,4.0,0.00979875,
audio,google/gemini-3.8-flash,AA_aaf90938-fddb-4c4,idwrd_urd,47.0,50.0,50.0,29.0,50.0,0.0,3.0,0.0,0.0080745,
audio,google/gemini-3.8-flash,AA_aaf90938-fddb-4c4,orf_urd,23.0,60.0,60.0,15.0,60.0,0.0,37.0,0.0,0.0070515,
audio,google/gemini-3.8-flash,AA_aaf90938-fddb-4c4,orf_eng,56.0,59.0,60.0,52.0,59.0,0.0,3.0,0.0,0.00869625,
audio,google/gemini-3.8-flash,AA_e9ef5a5c-fae0-45a,idwrd_urd,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.02304075,
audio,google/gemini-3.8-flash,AA_e9ef5a5c-fae0-45a,orf_urd,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0070815,
audio,google/gemini-3.8-flash,AA_a81b627e-e833-453,idwrd_urd,50.0,50.0,50.0,44.0,50.0,0.0,0.0,0.0,0.00604125,
audio,google/gemini-3.8-flash,AA_a81b627e-e833-453,orf_urd,58.0,60.0,60.0,39.0,60.0,0.0,2.0,0.0,0.007764,
audio,google/gemini-3.8-flash,AA_a81b627e-e833-453,orf_eng,53.0,59.0,50.0,50.0,59.0,0.0,6.0,9.0,0.01234125,
audio,google/gemini-3.8-flash,AA_fbc07ae4-2c3f-40d,idwrd_urd,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01177875,
audio,google/gemini-3.8-flash,AA_fbc07ae4-2c3f-40d,orf_urd,0.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,0.008634,
audio,google/gemini-3.8-flash,AA_e2237f3f-eb26-4b7,idwrd_urd,48.0,50.0,49.0,38.0,50.0,0.0,2.0,1.0,0.009372,
audio,google/gemini-3.8-flash,AA_e2237f3f-eb26-4b7,orf_urd,57.0,60.0,59.0,42.0,60.0,1.0,2.0,0.0,0.013074,
audio,google/gemini-3.8-flash,AA_e2237f3f-eb26-4b7,orf_eng,55.0,59.0,56.0,38.0,59.0,1.0,3.0,3.0,0.00879,
audio,google/gemini-3.8-flash,AA_2958d924-08be-406,idwrd_urd,49.0,50.0,50.0,43.0,50.0,0.0,1.0,0.0,0.0072975,
audio,google/gemini-3.8-flash,AA_2958d924-08be-406,orf_urd,60.0,60.0,59.0,41.0,60.0,0.0,0.0,1.0,0.01025025,
audio,google/gemini-3.8-flash,AA_2958d924-08be-406,orf_eng,32.0,38.0,29.0,28.0,34.0,1.0,5.0,4.0,0.0120975,
audio,google/gemini-3.8-flash,AA_8e29defb-2c2e-496,idwrd_urd,44.0,48.0,28.0,12.0,32.0,1.0,3.0,4.0,0.0153075,
audio,google/gemini-3.8-flash,AA_8e29defb-2c2e-496,orf_urd,47.0,52.0,40.0,12.0,52.0,4.0,1.0,9.0,0.016464,
audio,google/gemini-3.8-flash,AA_a8f57a8e-c029-4c9,idwrd_urd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00770625,
audio,google/gemini-3.8-flash,AA_8d152f25-5b3e-4b3,idwrd_urd,20.0,26.0,25.0,13.0,26.0,3.0,3.0,0.0,0.01177125,
audio,google/gemini-3.8-flash,AA_8d152f25-5b3e-4b3,orf_urd,12.0,24.0,58.0,5.0,24.0,1.0,11.0,1.0,0.00482025,
audio,google/gemini-3.8-flash,AA_4e25386a-f7bc-4a1,idwrd_urd,45.0,50.0,48.0,40.0,50.0,1.0,4.0,1.0,0.016425,
audio,google/gemini-3.8-flash,AA_4e25386a-f7bc-4a1,orf_urd,53.0,60.0,59.0,35.0,60.0,1.0,6.0,0.0,0.01376775,
audio,google/gemini-3.8-flash,AA_4e25386a-f7bc-4a1,orf_eng,38.0,53.0,45.0,22.0,53.0,1.0,14.0,8.0,0.018507,
audio,google/gemini-3.8-flash,AA_7e082938-042e-46a,idwrd_urd,48.0,50.0,49.0,42.0,50.0,1.0,1.0,0.0,0.0126675,
audio,google/gemini-3.8-flash,AA_7e082938-042e-46a,orf_urd,60.0,60.0,59.0,42.0,60.0,0.0,0.0,1.0,0.0074565,
audio,google/gemini-3.8-flash,AA_2296af89-8918-432,idwrd_urd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.020865,
audio,google/gemini-3.8-flash,AA_a8f5a4cb-8b11-426,idwrd_urd,25.0,26.0,18.0,13.0,26.0,1.0,0.0,9.0,0.01029375,
audio,google/gemini-3.8-flash,AA_a8f5a4cb-8b11-426,orf_urd,21.0,27.0,1.0,7.0,1.0,0.0,0.0,0.0,0.00803475,
audio,google/gemini-3.8-flash,AA_a8f5a4cb-8b11-426,orf_eng,15.0,16.0,6.0,4.0,16.0,1.0,0.0,10.0,0.0080145,
audio,google/gemini-3.8-flash,AA_f23c9f69-858b-47c,idwrd_urd,10.0,14.0,8.0,2.0,12.0,2.0,1.0,2.0,0.00845625,
audio,google/gemini-3.8-flash,AA_f23c9f69-858b-47c,orf_urd,3.0,6.0,0.0,0.0,5.0,3.0,0.0,2.0,0.00670275,
audio,google/gemini-3.8-flash,AA_e754feee-6c35-40c,idwrd_urd,2.0,5.0,0.0,1.0,5.0,3.0,0.0,2.0,0.0074625,
audio,google/gemini-3.8-flash,AA_e754feee-6c35-40c,orf_urd,3.0,10.0,0.0,0.0,5.0,3.0,0.0,2.0,0.007674,
audio,google/gemini-3.8-flash,AA_e754feee-6c35-40c,orf_eng,13.0,24.0,16.0,6.0,22.0,4.0,5.0,2.0,0.00822,
audio,google/gemini-3.8-flash,AA_2387d28e-9d18-473,idwrd_urd,31.0,32.0,27.0,6.0,31.0,1.0,0.0,4.0,0.0074775,
audio,google/gemini-3.8-flash,AA_2387d28e-9d18-473,orf_urd,36.0,38.0,23.0,5.0,33.0,2.0,0.0,8.0,0.0130785,
audio,google/gemini-3.8-flash,AA_2387d28e-9d18-473,orf_eng,1.0,9.0,0.0,5.0,5.0,5.0,0.0,0.0,0.00984375,
audio,google/gemini-3.8-flash,AA_eb127efb-92a9-4eb,idwrd_urd,3.0,9.0,3.0,2.0,9.0,5.0,1.0,1.0,0.00778125,
audio,google/gemini-3.8-flash,AA_eb127efb-92a9-4eb,orf_urd,9.0,12.0,13.0,4.0,12.0,0.0,3.0,0.0,0.0116715,
audio,google/gemini-3.8-flash,AA_eb127efb-92a9-4eb,orf_eng,2.0,17.0,1.0,0.0,6.0,4.0,1.0,1.0,0.00869325,
audio,google/gemini-3.8-flash,AA_94917b5c-07a6-4c5,idwrd_urd,4.0,11.0,3.0,0.0,11.0,6.0,1.0,2.0,0.01441125,
audio,google/gemini-3.8-flash,AA_94917b5c-07a6-4c5,orf_urd,7.0,51.0,5.0,0.0,11.0,4.0,0.0,2.0,0.00866775,
audio,google/gemini-3.8-flash,AA_94917b5c-07a6-4c5,orf_eng,7.0,11.0,6.0,2.0,11.0,3.0,1.0,2.0,0.00649575,
audio,google/gemini-3.8-flash,AA_3815999e-d698-486,idwrd_urd,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0079125,
audio,google/gemini-3.8-flash,AA_3815999e-d698-486,orf_eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00685875,
audio,google/gemini-3.8-flash,AA_52be51a8-a34a-4d0,idwrd_urd,0.0,12.0,43.0,0.0,12.0,6.0,6.0,0.0,0.0106125,
audio,google/gemini-3.8-flash,AA_52be51a8-a34a-4d0,orf_urd,0.0,8.0,0.0,0.0,6.0,6.0,0.0,0.0,0.00683025,
audio,google/gemini-3.8-flash,AA_05dc5dd8-2974-479,idwrd_urd,49.0,50.0,47.0,42.0,50.0,1.0,0.0,2.0,0.0095325,
audio,google/gemini-3.8-flash,AA_05dc5dd8-2974-479,orf_urd,60.0,60.0,59.0,43.0,60.0,0.0,0.0,1.0,0.006654,
audio,google/gemini-3.8-flash,AA_05dc5dd8-2974-479,orf_eng,58.0,59.0,54.0,56.0,59.0,0.0,1.0,5.0,0.00765825,
audio,google/gemini-3.8-flash,AA_8013413a-f6a1-4ac,orf_urd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00551775,
audio,google/gemini-3.8-flash,AA_422a2830-a7ac-4b4,idwrd_urd,50.0,50.0,48.0,45.0,50.0,0.0,0.0,2.0,0.00587325,
audio,google/gemini-3.8-flash,AA_422a2830-a7ac-4b4,orf_urd,60.0,60.0,59.0,43.0,60.0,0.0,0.0,1.0,0.005289,
audio,google/gemini-3.8-flash,AA_422a2830-a7ac-4b4,orf_eng,59.0,59.0,60.0,58.0,59.0,0.0,0.0,0.0,0.0070425,
audio,google/gemini-3.8-flash,AA_b11dfafb-fc92-462,idwrd_urd,49.0,49.0,44.0,11.0,49.0,0.0,0.0,6.0,0.009177,
audio,google/gemini-3.8-flash,AA_b11dfafb-fc92-462,orf_urd,60.0,60.0,12.0,23.0,17.0,0.0,0.0,5.0,0.0081165,
audio,google/gemini-3.8-flash,AA_b11dfafb-fc92-462,orf_eng,59.0,59.0,0.0,7.0,5.0,0.0,0.0,5.0,0.0175275,
audio,google/gemini-3.8-flash,AA_9fd3b07d-cb1e-42b,idwrd_urd,48.0,50.0,50.0,39.0,50.0,0.0,2.0,0.0,0.0142305,
audio,google/gemini-3.8-flash,AA_9fd3b07d-cb1e-42b,orf_urd,59.0,60.0,59.0,42.0,60.0,1.0,0.0,0.0,0.0082215,
audio,google/gemini-3.8-flash,AA_9fd3b07d-cb1e-42b,orf_eng,56.0,59.0,60.0,58.0,59.0,0.0,3.0,0.0,0.010581,
audio,google/gemini-3.8-flash,AA_bc0e09c8-aae5-466,idwrd_urd,44.0,46.0,48.0,36.0,46.0,2.0,0.0,0.0,0.0099075,
audio,google/gemini-3.8-flash,AA_bc0e09c8-aae5-466,orf_urd,60.0,60.0,57.0,42.0,60.0,0.0,0.0,3.0,0.0095415,
audio,google/gemini-3.8-flash,AA_bc0e09c8-aae5-466,orf_eng,6.0,13.0,0.0,4.0,5.0,4.0,0.0,1.0,0.008877,
audio,google/gemini-3.8-flash,AA_2d306c3b-928f-478,idwrd_urd,15.0,19.0,13.0,0.0,19.0,4.0,0.0,3.0,0.011325,
audio,google/gemini-3.8-flash,AA_2d306c3b-928f-478,orf_urd,20.0,25.0,20.0,0.0,25.0,1.0,4.0,5.0,0.008901,
audio,google/gemini-3.8-flash,AA_0b2fc30d-55f4-429,idwrd_urd,1.0,4.0,1.0,2.0,4.0,3.0,0.0,1.0,0.015345,
audio,google/gemini-3.8-flash,AA_0b2fc30d-55f4-429,orf_urd,2.0,10.0,2.0,0.0,10.0,7.0,1.0,2.0,0.01129275,
audio,google/gemini-3.8-flash,AA_0b2fc30d-55f4-429,orf_eng,0.0,6.0,6.0,4.0,6.0,5.0,1.0,0.0,0.0064275,
audio,google/gemini-3.8-flash,AA_54566619-3293-4dd,idwrd_urd,0.0,15.0,1.0,0.0,6.0,5.0,1.0,0.0,0.009615,
audio,google/gemini-3.8-flash,AA_d2b6e70c-b3fd-4bd,idwrd_urd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00555375,
audio,google/gemini-3.8-flash,AA_d2b6e70c-b3fd-4bd,orf_urd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080415,
audio,google/gemini-3.8-flash,AA_d2b6e70c-b3fd-4bd,orf_eng,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.00598875,
audio,google/gemini-3.8-flash,AA_cae1bdae-bf19-4d7,idwrd_urd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00562875,
audio,google/gemini-3.8-flash,AA_51a660bb-7db5-4a2,idwrd_urd,20.0,50.0,0.0,5.0,5.0,5.0,0.0,0.0,0.01110375,
audio,google/gemini-3.8-flash,AA_51a660bb-7db5-4a2,orf_urd,53.0,60.0,11.0,34.0,60.0,3.0,4.0,46.0,0.00477525,
audio,google/gemini-3.8-flash,AA_51a660bb-7db5-4a2,orf_eng,36.0,59.0,0.0,15.0,5.0,0.0,0.0,5.0,0.0214725,
audio,google/gemini-3.8-flash,AA_bf842fbd-d0b6-48f,idwrd_urd,11.0,11.0,7.0,3.0,8.0,0.0,0.0,2.0,0.00874875,
audio,google/gemini-3.8-flash,AA_bf842fbd-d0b6-48f,orf_urd,12.0,13.0,12.0,2.0,13.0,0.0,1.0,1.0,0.0069165,
audio,google/gemini-3.8-flash,AA_bf842fbd-d0b6-48f,orf_eng,9.0,11.0,0.0,3.0,5.0,1.0,0.0,4.0,0.0066825,
audio,google/gemini-3.8-flash,AA_a5440eb3-5034-413,idwrd_urd,47.0,50.0,42.0,28.0,50.0,2.0,1.0,6.0,0.019185,
audio,google/gemini-3.8-flash,AA_a5440eb3-5034-413,orf_urd,45.0,60.0,53.0,25.0,60.0,4.0,11.0,3.0,0.01288275,
audio,google/gemini-3.8-flash,AA_a5440eb3-5034-413,orf_eng,46.0,59.0,54.0,43.0,59.0,1.0,12.0,4.0,0.01442325,
audio,google/gemini-3.8-flash,AA_aef46179-5917-4dd,idwrd_urd,29.0,30.0,24.0,17.0,30.0,1.0,0.0,6.0,0.010365,
audio,google/gemini-3.8-flash,AA_aef46179-5917-4dd,orf_urd,38.0,42.0,30.0,13.0,39.0,3.0,1.0,6.0,0.0113415,
audio,google/gemini-3.8-flash,AA_aef46179-5917-4dd,orf_eng,0.0,7.0,1.0,4.0,5.0,4.0,1.0,0.0,0.00492075,
audio,google/gemini-3.8-flash,AA_374d6c43-5ef4-4ab,idwrd_urd,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0058875,
audio,google/gemini-3.8-flash,AA_374d6c43-5ef4-4ab,orf_urd,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0057765,
audio,google/gemini-3.8-flash,AA_374d6c43-5ef4-4ab,orf_eng,0.0,4.0,0.0,2.0,4.0,4.0,0.0,0.0,0.00540375,
audio,google/gemini-3.8-flash,AA_7e0f11d6-0031-492,idwrd_urd,11.0,16.0,13.0,10.0,16.0,3.0,2.0,0.0,0.0079725,
audio,google/gemini-3.8-flash,AA_7e0f11d6-0031-492,orf_urd,20.0,23.0,19.0,6.0,22.0,2.0,1.0,1.0,0.00752025,
audio,google/gemini-3.8-flash,AA_7e0f11d6-0031-492,orf_eng,11.0,13.0,9.0,5.0,13.0,1.0,1.0,3.0,0.00669375,
audio,google/gemini-3.8-flash,AA_92bdf696-3742-41e,idwrd_urd,39.0,39.0,30.0,14.0,39.0,0.0,0.0,10.0,0.0078945,
audio,google/gemini-3.8-flash,AA_92bdf696-3742-41e,orf_urd,16.0,53.0,3.0,0.0,53.0,36.0,1.0,15.0,0.01061025,
audio,google/gemini-3.8-flash,AA_a8eef4b9-ab7b-48d,idwrd_urd,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0045075,
audio,google/gemini-3.8-flash,AA_87731df7-f734-4ff,idwrd_urd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0066975,
audio,google/gemini-3.8-flash,AA_87731df7-f734-4ff,orf_eng,0.0,3.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0067125,
audio,google/gemini-3.8-flash,AA_99ab36ed-ed68-4e9,idwrd_urd,45.0,50.0,50.0,24.0,50.0,0.0,5.0,0.0,0.008667,
audio,google/gemini-3.8-flash,AA_99ab36ed-ed68-4e9,orf_urd,28.0,29.0,60.0,17.0,29.0,0.0,1.0,0.0,0.0086715,
audio,google/gemini-3.8-flash,AA_7ad7b97a-d69d-416,idwrd_urd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00737625,
audio,google/gemini-3.8-flash,AA_7ad7b97a-d69d-416,orf_urd,10.0,14.0,19.0,5.0,14.0,1.0,3.0,1.0,0.0124215,
audio,google/gemini-3.8-flash,AA_7ad7b97a-d69d-416,orf_eng,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0048075,
audio,google/gemini-3.8-flash,AA_d499cff8-38a9-4eb,idwrd_urd,49.0,50.0,50.0,45.0,50.0,0.0,1.0,0.0,0.01016625,
audio,google/gemini-3.8-flash,AA_d499cff8-38a9-4eb,orf_urd,60.0,60.0,60.0,43.0,60.0,0.0,0.0,0.0,0.0078465,
audio,google/gemini-3.8-flash,AA_d499cff8-38a9-4eb,orf_eng,56.0,59.0,60.0,58.0,59.0,0.0,3.0,0.0,0.00868125,
audio,google/gemini-3.8-flash,AA_1b71e9b9-d0ef-470,idwrd_urd,3.0,47.0,0.0,1.0,5.0,5.0,0.0,0.0,0.00987375,
audio,google/gemini-3.8-flash,AA_1b71e9b9-d0ef-470,orf_urd,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.005079,
audio,google/gemini-3.8-flash,AA_1b71e9b9-d0ef-470,orf_eng,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0048975,
audio,google/gemini-3.8-flash,AA_a2bda34a-2d3a-439,orf_urd,32.0,58.0,60.0,16.0,58.0,0.0,26.0,0.0,0.018369,
audio,google/gemini-3.8-flash,AA_a2bda34a-2d3a-439,orf_eng,15.0,59.0,56.0,1.0,59.0,3.0,41.0,1.0,0.01222875,
audio,google/gemini-3.8-flash,AA_86da0dbc-4ece-4ee,idwrd_urd,22.0,50.0,9.0,0.0,18.0,9.0,7.0,0.0,0.01857375,
audio,google/gemini-3.8-flash,AA_86da0dbc-4ece-4ee,orf_urd,27.0,30.0,11.0,1.0,24.0,1.0,2.0,13.0,0.02189025,
audio,google/gemini-3.8-flash,AA_1d938bbd-776b-4b6,idwrd_urd,50.0,50.0,50.0,46.0,50.0,0.0,0.0,0.0,0.008307,
audio,google/gemini-3.8-flash,AA_1d938bbd-776b-4b6,orf_urd,60.0,60.0,60.0,43.0,60.0,0.0,0.0,0.0,0.007539,
audio,google/gemini-3.8-flash,AA_1d938bbd-776b-4b6,orf_eng,58.0,59.0,60.0,44.0,59.0,0.0,1.0,0.0,0.0080025,
audio,google/gemini-3.8-flash,AA_5d26dbc5-d348-4c6,idwrd_urd,50.0,50.0,50.0,13.0,50.0,0.0,0.0,0.0,0.006702,
audio,google/gemini-3.8-flash,AA_5d26dbc5-d348-4c6,orf_urd,60.0,60.0,60.0,29.0,60.0,0.0,0.0,0.0,0.01133025,
audio,google/gemini-3.8-flash,AA_5d26dbc5-d348-4c6,orf_eng,57.0,59.0,60.0,27.0,59.0,0.0,2.0,0.0,0.00746325,
audio,google/gemini-3.8-flash,AA_b7acd1f0-8ee8-404,idwrd_urd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0059295,
audio,google/gemini-3.8-flash,AA_b7acd1f0-8ee8-404,orf_eng,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.00482625,
audio,google/gemini-3.8-flash,AA_6f02809d-d960-4d3,orf_urd,51.0,53.0,58.0,36.0,53.0,0.0,2.0,2.0,0.010794,
audio,google/gemini-3.8-flash,AA_bee0235b-f2cd-42b,idwrd_urd,49.0,49.0,46.0,42.0,47.0,0.0,0.0,1.0,0.010725,
audio,google/gemini-3.8-flash,AA_bee0235b-f2cd-42b,orf_eng,4.0,4.0,0.0,3.0,4.0,0.0,0.0,4.0,0.00473625,
audio,google/gemini-3.8-flash,AA_d897830f-bbaa-44d,idwrd_urd,26.0,28.0,28.0,20.0,28.0,0.0,2.0,0.0,0.00724125,
audio,google/gemini-3.8-flash,AA_d897830f-bbaa-44d,orf_urd,30.0,35.0,32.0,14.0,33.0,1.0,4.0,0.0,0.00898275,
audio,google/gemini-3.8-flash,AA_d897830f-bbaa-44d,orf_eng,0.0,0.0,55.0,6.0,0.0,0.0,0.0,0.0,0.00525075,
audio,google/gemini-3.8-flash,AA_eb788e8a-917d-490,idwrd_urd,49.0,50.0,50.0,43.0,50.0,0.0,1.0,0.0,0.00906,
audio,google/gemini-3.8-flash,AA_eb788e8a-917d-490,orf_urd,59.0,60.0,60.0,40.0,60.0,0.0,1.0,0.0,0.0075465,
audio,google/gemini-3.8-flash,AA_eb788e8a-917d-490,orf_eng,58.0,59.0,60.0,47.0,59.0,0.0,1.0,0.0,0.011415,
audio,google/gemini-3.8-flash,AA_35367e51-cc29-4df,idwrd_urd,13.0,20.0,40.0,0.0,20.0,1.0,6.0,3.0,0.0111,
audio,google/gemini-3.8-flash,AA_35367e51-cc29-4df,orf_urd,23.0,30.0,18.0,0.0,26.0,5.0,1.0,3.0,0.015609,
audio,google/gemini-3.8-flash,AA_35367e51-cc29-4df,orf_eng,18.0,23.0,17.0,6.0,23.0,1.0,4.0,5.0,0.006297,
audio,google/gemini-3.8-flash,AA_9f532c2d-d760-4fa,idwrd_urd,50.0,50.0,49.0,30.0,50.0,0.0,0.0,1.0,0.00653625,
audio,google/gemini-3.8-flash,AA_9f532c2d-d760-4fa,orf_urd,57.0,60.0,59.0,43.0,60.0,0.0,3.0,1.0,0.01153275,
audio,google/gemini-3.8-flash,AA_9f532c2d-d760-4fa,orf_eng,54.0,59.0,54.0,45.0,59.0,1.0,4.0,4.0,0.009975,
audio,google/gemini-3.8-flash,AA_5dce002b-57cd-4c9,idwrd_urd,50.0,50.0,50.0,43.0,50.0,0.0,0.0,0.0,0.008115,
audio,google/gemini-3.8-flash,AA_5dce002b-57cd-4c9,orf_urd,60.0,60.0,60.0,43.0,60.0,0.0,0.0,0.0,0.00707775,
audio,google/gemini-3.8-flash,AA_5dce002b-57cd-4c9,orf_eng,55.0,59.0,57.0,47.0,59.0,0.0,4.0,2.0,0.01079625,
audio,google/gemini-3.8-flash,AA_fb785d2a-c665-4f3,idwrd_urd,50.0,50.0,44.0,31.0,50.0,0.0,0.0,6.0,0.00907125,
audio,google/gemini-3.8-flash,AA_fb785d2a-c665-4f3,orf_urd,58.0,60.0,60.0,38.0,60.0,0.0,2.0,0.0,0.014724,
audio,google/gemini-3.8-flash,AA_fb785d2a-c665-4f3,orf_eng,59.0,59.0,53.0,2.0,59.0,0.0,0.0,6.0,0.008085,
audio,google/gemini-3.8-flash,AA_69691a12-deef-4dd,idwrd_urd,5.0,6.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0071175,
audio,google/gemini-3.8-flash,AA_69691a12-deef-4dd,orf_urd,6.0,7.0,0.0,0.0,5.0,0.0,0.0,5.0,0.00991275,
audio,google/gemini-3.8-flash,AA_69691a12-deef-4dd,orf_eng,17.0,26.0,1.0,6.0,6.0,5.0,1.0,0.0,0.018015,
audio,google/gemini-3.8-flash,AA_0d47b184-8f04-431,idwrd_urd,49.0,50.0,49.0,32.0,50.0,0.0,1.0,1.0,0.01650375,
audio,google/gemini-3.8-flash,AA_0d47b184-8f04-431,orf_urd,60.0,60.0,60.0,33.0,60.0,0.0,0.0,0.0,0.0102015,
audio,google/gemini-3.8-flash,AA_0d47b184-8f04-431,orf_eng,41.0,43.0,60.0,13.0,43.0,0.0,2.0,0.0,0.0084675,
audio,google/gemini-3.8-flash,AA_d99c7b13-c3a8-489,idwrd_urd,50.0,50.0,47.0,0.0,50.0,0.0,0.0,3.0,0.009435,
